id,Response
162946,0.5
250469,0.5
145870,0.5
159515,0.5
294257,0.5
492566,0.5
161290,0.5
506611,0.5
234369,0.5
182135,0.5
14829,0.5
97874,0.5
57655,0.5
71958,0.5
10630,0.5
33019,0.5
256886,0.5
316528,0.5
498697,0.5
183792,0.5
423759,0.5
109021,0.5
29440,0.5
47945,0.5
44832,0.5
183633,0.5
255667,0.5
52144,0.5
242559,0.5
211693,0.5
109669,0.5
200719,0.5
222559,0.5
435550,0.5
260140,0.5
372732,0.5
350750,0.5
311000,0.5
2549,0.5
361882,0.5
505405,0.5
232650,0.5
276342,0.5
284270,0.5
506773,0.5
495084,0.5
51357,0.5
392534,0.5
200261,0.5
470105,0.5
103659,0.5
108598,0.5
146276,0.5
145015,0.5
302015,0.5
421535,0.5
298589,0.5
137848,0.5
300743,0.5
178020,0.5
452293,0.5
103747,0.5
360505,0.5
208800,0.5
483158,0.5
5950,0.5
198912,0.5
350735,0.5
272212,0.5
250158,0.5
443927,0.5
247524,0.5
366156,0.5
151777,0.5
105520,0.5
209386,0.5
464683,0.5
111115,0.5
69818,0.5
211599,0.5
36528,0.5
495301,0.5
345372,0.5
169164,0.5
466378,0.5
428673,0.5
125308,0.5
239041,0.5
27712,0.5
472222,0.5
240921,0.5
420096,0.5
365660,0.5
221280,0.5
414594,0.5
284506,0.5
141816,0.5
316485,0.5
175181,0.5
471092,0.5
367514,0.5
263857,0.5
224266,0.5
243893,0.5
242564,0.5
467151,0.5
493438,0.5
72203,0.5
10940,0.5
494699,0.5
435902,0.5
130916,0.5
56708,0.5
268223,0.5
8013,0.5
178687,0.5
252569,0.5
156369,0.5
344594,0.5
101034,0.5
127781,0.5
386635,0.5
20229,0.5
102447,0.5
209972,0.5
216647,0.5
267283,0.5
18500,0.5
53707,0.5
84429,0.5
291720,0.5
170510,0.5
73534,0.5
314049,0.5
135286,0.5
235121,0.5
409261,0.5
112229,0.5
234251,0.5
365297,0.5
501231,0.5
352581,0.5
289180,0.5
184230,0.5
304061,0.5
428203,0.5
218871,0.5
322129,0.5
158394,0.5
99862,0.5
472537,0.5
211636,0.5
444730,0.5
178094,0.5
192649,0.5
25336,0.5
260519,0.5
93588,0.5
52983,0.5
199794,0.5
428908,0.5
472390,0.5
184621,0.5
246658,0.5
225022,0.5
89125,0.5
303491,0.5
370246,0.5
342519,0.5
458636,0.5
220557,0.5
168165,0.5
160299,0.5
173847,0.5
165759,0.5
20516,0.5
121028,0.5
57403,0.5
121996,0.5
176155,0.5
81844,0.5
48656,0.5
391317,0.5
123414,0.5
71637,0.5
369269,0.5
129131,0.5
15033,0.5
303323,0.5
226246,0.5
156761,0.5
64213,0.5
299913,0.5
156315,0.5
208400,0.5
147930,0.5
326383,0.5
491040,0.5
11512,0.5
310936,0.5
435582,0.5
373704,0.5
80480,0.5
330411,0.5
5938,0.5
135454,0.5
385878,0.5
302837,0.5
470395,0.5
442708,0.5
204468,0.5
54905,0.5
486665,0.5
204091,0.5
331990,0.5
437007,0.5
215761,0.5
405399,0.5
94284,0.5
298775,0.5
455142,0.5
61568,0.5
314885,0.5
453153,0.5
350202,0.5
446233,0.5
126593,0.5
378302,0.5
27929,0.5
3651,0.5
24532,0.5
179702,0.5
137878,0.5
206447,0.5
206224,0.5
115911,0.5
33364,0.5
206459,0.5
264217,0.5
116254,0.5
9203,0.5
39145,0.5
425901,0.5
478569,0.5
74857,0.5
262276,0.5
177120,0.5
406883,0.5
154208,0.5
340201,0.5
270831,0.5
263899,0.5
478244,0.5
200495,0.5
50081,0.5
445517,0.5
378607,0.5
303361,0.5
34969,0.5
77439,0.5
137388,0.5
187506,0.5
277631,0.5
63455,0.5
87634,0.5
181393,0.5
357803,0.5
493226,0.5
189001,0.5
384487,0.5
83218,0.5
133505,0.5
169367,0.5
326868,0.5
210974,0.5
206556,0.5
375874,0.5
59302,0.5
65367,0.5
159764,0.5
415507,0.5
232985,0.5
161155,0.5
435526,0.5
466727,0.5
176291,0.5
38123,0.5
346642,0.5
169688,0.5
45778,0.5
389333,0.5
373664,0.5
241211,0.5
378889,0.5
326214,0.5
96673,0.5
149024,0.5
87165,0.5
205258,0.5
312783,0.5
315393,0.5
405246,0.5
250534,0.5
108432,0.5
314888,0.5
460791,0.5
487592,0.5
52368,0.5
204334,0.5
195329,0.5
273668,0.5
464920,0.5
204982,0.5
94091,0.5
240125,0.5
507726,0.5
451124,0.5
244190,0.5
178236,0.5
490681,0.5
257397,0.5
334173,0.5
420474,0.5
114343,0.5
96384,0.5
118802,0.5
377419,0.5
241515,0.5
348289,0.5
405673,0.5
97363,0.5
347595,0.5
394019,0.5
74416,0.5
498665,0.5
373739,0.5
423466,0.5
340179,0.5
15583,0.5
302082,0.5
182730,0.5
343691,0.5
24260,0.5
411172,0.5
109532,0.5
89973,0.5
191092,0.5
232165,0.5
427924,0.5
255746,0.5
367075,0.5
175046,0.5
85619,0.5
16433,0.5
172908,0.5
82549,0.5
146510,0.5
176199,0.5
138504,0.5
3506,0.5
95202,0.5
162095,0.5
341920,0.5
475154,0.5
441803,0.5
202898,0.5
233811,0.5
335871,0.5
295933,0.5
208625,0.5
371436,0.5
304895,0.5
395541,0.5
305481,0.5
6744,0.5
284843,0.5
11610,0.5
461031,0.5
269259,0.5
200314,0.5
400581,0.5
445180,0.5
421602,0.5
41965,0.5
401763,0.5
238285,0.5
331418,0.5
316741,0.5
106059,0.5
250328,0.5
297794,0.5
268397,0.5
101542,0.5
340951,0.5
305150,0.5
174480,0.5
8704,0.5
151017,0.5
11912,0.5
242087,0.5
291000,0.5
202096,0.5
385288,0.5
